,SO2,O3,PM10,PM25,NO2,pr
5811,4.1,90,51.0,30.0,16.9,
5812,3.9,92,54.0,30.0,12.5,
5813,3.9,92,54.0,30.0,12.5,
5814,3.0,92,57.0,30.0,10.1,
5815,4.1,91,58.0,30.0,17.4,
5816,4.1,91,58.0,30.0,17.4,
5817,4.1,91,58.0,30.0,17.4,
5818,4.0,69,66.0,36.0,15.3,
5819,5.6,63,69.0,39.0,14.9,
5820,5.6,63,69.0,39.0,14.9,
5821,5.6,58,74.0,41.0,14.3,
5822,4.6,52,76.0,43.0,11.3,
5823,4.7,43,80.0,44.0,9.1,
5824,4.7,43,80.0,44.0,9.1,
5825,5.5,42,74.0,40.0,12.8,
5826,5.5,42,74.0,40.0,12.8,
5827,5.5,42,74.0,40.0,12.8,
5828,5.5,42,74.0,40.0,12.8,
5829,3.5,50,76.0,45.0,10.8,
5830,3.4,53,78.0,46.0,8.1,
5831,2.7,55,76.0,41.0,5.2,
5832,2.9,56,74.0,35.0,4.9,
5833,2.9,58,70.0,28.0,5.9,
5834,3.0,59,70.0,24.0,8.3,
5835,3.0,57,72.0,23.0,12.9,
5836,3.0,53,69.0,22.0,14.8,
5837,3.0,53,69.0,22.0,14.8,
5838,2.6,45,57.0,20.0,10.8,
5839,2.4,42,50.0,20.0,8.7,
5840,2.2,39,44.0,18.0,5.8,
5841,2.4,37,38.0,15.0,5.2,
5842,2.6,35,33.0,13.0,3.8,
5843,2.4,34,28.0,11.0,4.3,
5844,4.9,34,24.0,10.0,9.2,
5845,3.4,34,24.0,10.0,7.2,
5846,3.0,34,21.0,8.0,7.7,
5847,3.0,34,18.0,7.0,6.7,
5848,3.0,35,18.0,7.0,7.2,
5849,3.0,35,15.0,6.0,9.7,
5850,2.2,35,14.0,7.0,7.4,
5851,1.9,36,15.0,6.0,8.6,
5852,1.9,38,19.0,7.0,8.3,
5853,2.1,40,24.0,9.0,7.3,
5854,1.9,42,30.0,9.0,5.6,
5855,2.0,45,40.0,9.0,5.3,
5856,2.1,48,50.0,10.0,4.6,
5857,2.1,51,68.0,10.0,5.4,
5858,2.0,53,74.0,12.0,5.4,
5859,2.1,54,79.0,13.0,6.4,
5860,2.1,54,76.0,13.0,6.6,
5861,1.9,54,63.0,12.0,5.1,
5862,1.7,53,58.0,11.0,5.7,
5863,1.7,52,48.0,10.0,6.4,
5864,1.7,50,44.0,9.0,4.9,
5865,1.7,48,42.0,9.0,5.2,
5866,1.7,47,42.0,9.0,4.8,
5867,1.7,46,42.0,9.0,5.3,
5868,2.2,45,38.0,9.0,6.4,
5869,2.4,44,34.0,10.0,5.6,
5870,2.6,44,32.0,10.0,5.7,
5871,2.5,45,28.0,10.0,3.9,
5872,2.6,45,28.0,11.0,4.3,
5873,2.6,46,28.0,12.0,5.8,
5874,2.1,47,29.0,13.0,5.2,
5875,2.2,49,30.0,14.0,3.6,
5876,3.6,52,31.0,15.0,4.6,
5877,1.2,54,33.0,15.0,6.3,
5878,2.2,57,30.0,17.0,5.8,
5879,2.0,58,36.0,20.0,4.3,
5880,2.1,59,38.0,22.0,3.9,
5881,2.4,60,38.0,24.0,4.4,
5882,2.2,60,38.0,25.0,3.9,
5883,2.2,58,38.0,25.0,5.1,
5884,2.1,55,38.0,27.0,7.3,
5885,2.2,52,38.0,27.0,7.8,
5886,2.4,48,38.0,27.0,10.1,
5887,2.2,45,38.0,26.0,9.3,
5888,2.1,41,38.0,25.0,13.9,
5889,3.0,37,38.0,25.0,11.4,
5890,4.1,33,38.0,24.0,14.3,
5891,2.9,30,38.0,22.0,9.7,
5892,2.7,27,38.0,22.0,10.5,
5893,3.0,24,38.0,21.0,8.1,
5894,2.7,22,38.0,22.0,9.1,
5895,2.6,19,38.0,22.0,10.7,
5896,2.6,17,38.0,21.0,10.9,
5897,2.7,15,38.0,21.0,9.3,
5898,2.5,15,38.0,19.0,7.8,
5899,2.1,17,38.0,17.0,4.6,
5900,5.9,20,38.0,17.0,6.1,
5901,2.4,23,38.0,15.0,6.6,
5902,2.2,28,38.0,17.0,5.7,
5903,2.4,34,38.0,17.0,4.7,
5904,2.6,40,38.0,17.0,3.1,
5905,2.5,45,38.0,17.0,3.6,
5906,2.1,47,38.0,15.0,4.9,
5907,2.9,47,38.0,14.0,10.1,
5908,3.9,45,38.0,13.0,17.0,
5909,4.1,42,38.0,12.0,11.0,
5910,2.0,37,38.0,12.0,8.6,
5911,1.7,32,38.0,12.0,10.1,
5912,2.0,27,38.0,12.0,6.7,
5913,1.7,24,38.0,12.0,6.4,
5914,1.9,21,38.0,11.0,6.1,
5915,2.1,19,38.0,10.0,7.7,
5916,2.7,18,38.0,9.0,8.8,
5917,2.9,18,38.0,9.0,5.6,
5918,2.7,18,38.0,9.0,6.4,
5919,2.5,18,38.0,9.0,4.4,
5920,2.6,18,38.0,8.0,4.9,
5921,2.7,18,38.0,7.0,5.6,
5922,2.9,18,38.0,7.0,5.9,
5923,2.0,19,38.0,7.0,4.2,
5924,1.9,20,38.0,8.0,3.9,
5925,1.9,21,38.0,9.0,4.6,
5926,2.1,22,38.0,10.0,4.7,
5927,2.1,23,38.0,10.0,4.2,
5928,2.1,24,38.0,10.0,4.9,
5929,2.2,24,38.0,10.0,7.1,
5930,2.1,23,38.0,10.0,4.7,
5931,2.2,23,38.0,9.0,5.2,
5932,2.1,23,38.0,10.0,4.6,
5933,2.1,22,38.0,10.0,5.4,
5934,2.0,22,38.0,9.0,5.8,
5935,1.7,21,38.0,10.0,6.6,
5936,1.9,20,38.0,9.0,8.1,
5937,2.0,20,38.0,8.0,7.1,
5938,1.9,20,38.0,8.0,7.1,
5939,2.1,21,38.0,7.0,5.4,
5940,2.1,22,38.0,7.0,4.4,
5941,2.4,22,38.0,6.0,3.7,
5942,2.4,23,38.0,7.0,3.3,
5943,2.4,23,38.0,7.0,3.3,
5944,2.1,26,38.0,5.0,2.3,
5945,2.2,26,38.0,5.0,5.1,
5946,2.0,26,38.0,5.0,8.1,
5947,1.9,26,38.0,5.0,7.6,
5948,1.7,26,38.0,6.0,6.7,
5949,4.2,27,38.0,7.0,8.2,
5950,3.9,27,38.0,7.0,5.8,
5951,4.0,27,38.0,7.0,5.4,
5952,4.4,27,38.0,6.0,5.6,
5953,4.5,27,38.0,5.0,8.4,
5954,4.7,27,38.0,4.0,9.9,
5955,4.6,27,38.0,5.0,9.2,
5956,4.6,26,38.0,6.0,9.1,
5957,4.6,25,38.0,6.0,8.1,
5958,4.1,23,10.0,6.0,7.1,
5959,4.1,22,10.0,5.0,7.2,
5960,4.0,21,9.0,4.0,6.6,
5961,4.0,19,9.0,3.0,6.8,
