,SO2,CO,O3,PM10,PM25,NO2,NO,pr
3728,2.3,0.47,11.0,34.0,10.0,21.0,2.1,
3729,3.5,0.46,8.7,29.0,3.0,23.0,0.9,
3730,3.4,0.49,6.4,32.0,13.0,23.0,1.2,
3731,2.8,0.44,6.9,33.0,14.0,17.0,0.8,
3732,2.0,0.34,6.3,27.0,17.0,13.0,0.4,
3733,1.3,0.22,8.0,28.0,13.0,8.7,0.8,
3734,1.3,0.18,8.1,28.0,9.0,6.1,1.5,
3735,1.4,0.19,7.5,35.0,3.0,6.3,1.8,
3736,1.2,0.12,11.0,31.0,5.0,5.1,1.5,
3737,1.5,0.14,8.9,27.0,2.0,5.4,1.2,
3738,1.4,0.17,9.6,25.0,3.0,6.0,2.3,
3739,2.7,0.31,5.9,37.0,5.0,10.0,8.2,
3740,1.6,0.32,15.0,34.0,12.0,8.5,4.9,
3741,1.9,0.23,26.0,36.0,14.0,6.7,3.0,
3742,2.1,0.22,33.0,18.0,11.0,8.4,3.1,
3743,1.7,0.17,43.0,22.0,14.0,6.8,2.6,
3744,1.8,0.19,53.0,33.0,21.0,7.4,2.1,
3745,1.7,0.17,51.0,42.0,19.0,5.9,1.9,
3746,1.6,0.15,48.0,38.0,20.0,5.7,1.4,
3747,1.6,0.13,45.0,34.0,18.0,5.8,1.7,
3748,1.7,0.14,44.0,35.0,20.0,6.5,1.9,
3749,2.0,0.19,43.0,40.0,11.0,7.1,2.5,
3750,2.0,0.21,40.0,33.0,10.0,7.5,1.8,
3751,2.0,0.29,31.0,33.0,11.0,11.0,1.3,
3752,1.4,0.25,34.0,31.0,20.0,9.9,2.0,
3753,1.4,0.33,28.0,38.0,20.0,12.0,1.7,
3754,1.4,0.27,25.0,38.0,23.0,12.0,1.6,
3755,1.5,0.3,21.0,34.0,17.0,13.0,1.7,
3756,1.4,0.24,21.0,21.0,11.0,10.0,1.6,
3757,1.3,0.17,20.0,16.0,6.0,7.9,1.2,
3758,1.6,0.17,19.0,17.0,3.0,4.6,2.5,
3759,1.6,0.14,17.0,22.0,3.0,4.1,2.7,
3760,1.5,0.14,16.0,23.0,3.0,4.1,2.4,
3761,1.6,0.15,13.0,20.0,3.0,4.8,2.7,
3762,1.6,0.2,11.0,15.0,3.0,6.3,3.0,
3763,1.8,0.27,9.4,22.0,3.0,7.8,5.7,
3764,2.0,0.32,16.0,29.0,5.0,7.6,5.8,
3765,2.6,0.35,34.0,37.0,6.0,8.7,4.4,
3766,2.7,0.32,53.0,33.0,10.0,8.0,2.9,
3767,2.6,0.19,55.0,36.0,7.0,4.3,2.6,
3768,2.6,0.18,56.0,34.0,17.0,4.9,2.5,
3769,2.2,0.15,50.0,34.0,12.0,2.7,2.5,
3770,2.1,0.13,49.0,30.0,12.0,3.3,2.6,
3771,2.1,0.13,45.0,29.0,6.0,3.5,2.1,
3772,2.3,0.14,47.0,32.0,7.0,3.8,2.6,
3773,2.5,0.19,47.0,31.0,14.0,4.5,2.6,
3774,2.4,0.24,34.0,34.0,7.0,7.0,3.1,
3775,1.8,0.25,35.0,34.0,20.0,5.4,2.9,
3776,1.7,0.28,31.0,27.0,15.0,6.9,2.7,
3777,2.0,0.31,23.0,22.0,15.0,11.0,3.3,
3778,1.8,0.27,24.0,19.0,9.0,8.2,2.5,
3779,2.0,0.28,21.0,23.0,6.0,8.8,2.8,
3780,2.1,0.29,16.0,33.0,5.0,9.0,2.5,
3781,1.6,0.22,14.0,33.0,5.0,5.0,2.3,
3782,1.3,0.16,13.0,33.0,5.0,6.1,1.6,
3783,2.0,0.16,12.0,31.0,5.0,6.1,0.9,
3784,1.4,0.16,11.0,30.0,5.0,6.8,1.2,
3785,1.7,0.15,9.9,36.0,5.0,6.2,1.5,
3786,2.0,0.19,10.0,31.0,5.0,7.6,1.4,
3787,2.0,0.31,7.3,30.0,2.0,11.0,4.3,
3788,2.5,0.46,8.1,26.0,11.0,14.0,6.6,
3789,3.7,0.66,13.0,34.0,14.0,17.0,7.8,
3790,4.3,0.86,12.0,45.0,13.0,25.0,13.0,
3791,5.3,0.5,14.0,47.0,14.0,24.0,11.0,
3792,5.8,0.54,25.0,45.0,16.0,27.0,8.2,
3793,5.2,0.6,44.0,48.0,18.0,31.0,4.6,
3794,4.1,0.55,62.0,58.0,19.0,29.0,2.9,
3795,7.1,0.38,29.0,64.0,25.0,28.0,4.4,
3796,6.6,0.33,38.0,61.0,30.0,22.0,2.8,
3797,4.5,0.27,38.0,61.0,25.0,18.0,2.8,
3798,2.3,0.43,37.0,56.0,20.0,19.0,2.1,
3799,2.5,0.47,32.0,49.0,19.0,22.0,2.0,
3800,4.7,0.49,11.0,51.0,20.0,28.0,3.5,
3801,4.2,0.58,7.1,49.0,23.0,29.0,3.1,
3802,5.3,0.43,4.9,55.0,23.0,26.0,2.9,
3803,5.3,0.44,4.1,58.0,23.0,25.0,2.3,
3804,3.5,0.48,5.5,73.0,19.0,21.0,2.2,
3805,2.7,0.44,9.3,72.0,23.0,17.0,1.4,
3806,3.2,0.41,3.3,66.0,20.0,18.0,4.4,
3807,3.0,0.36,6.1,59.0,20.0,14.0,2.5,
3808,2.5,0.34,7.0,57.0,17.0,11.0,3.0,
3809,2.3,0.3,9.9,66.0,20.0,6.6,2.8,
3810,2.0,0.28,9.4,65.0,15.0,6.0,2.1,
3811,2.5,0.44,6.8,59.0,17.0,11.0,5.9,
3812,2.9,0.55,18.0,39.0,14.0,12.0,6.6,
