,SO2,CO,PM10,PM25,NO2,pr
569,7.3,0.52,72.0,33.0,18.9,
570,7.3,0.46,72.0,31.0,18.7,
571,6.9,0.38,74.0,28.0,20.6,
572,7.3,0.32,76.0,26.0,20.4,
573,7.3,0.32,76.0,26.0,20.4,
574,7.3,0.32,76.0,26.0,20.4,
575,3.3,0.28,76.0,22.0,25.5,
576,1.6,0.28,72.0,21.0,23.3,
577,1.3,0.29,66.0,19.0,20.4,
578,3.6,0.29,62.0,18.0,14.7,
579,2.2,0.3,60.0,18.0,15.6,
580,2.2,0.3,60.0,18.0,15.6,
581,2.2,0.3,60.0,18.0,15.6,
582,2.2,0.3,60.0,18.0,15.6,
583,4.4,0.26,65.0,27.0,14.4,
584,2.1,0.25,68.0,30.0,15.5,
585,2.1,0.29,70.0,31.0,18.2,
586,0.7,0.34,70.0,32.0,19.0,
587,3.4,0.36,70.0,33.0,18.3,
588,3.4,0.38,70.0,34.0,18.3,
589,3.8,0.38,69.0,34.0,12.5,
590,4.2,0.39,71.0,35.0,12.7,
591,3.8,0.38,74.0,36.0,9.4,
592,4.2,0.35,76.0,36.0,11.0,
593,6.7,0.29,79.0,36.0,12.0,
594,6.6,0.21,80.0,33.0,13.0,
595,9.0,0.18,80.0,30.0,20.3,
596,11.3,0.21,78.0,30.0,34.6,
597,7.5,0.22,78.0,31.0,25.7,
598,6.0,0.22,78.0,31.0,19.3,
599,5.7,0.23,78.0,28.0,13.2,
600,1.9,0.24,78.0,25.0,11.1,
601,1.3,0.24,74.0,23.0,9.7,
